video,cp,dg,G_continue,best,dg_project
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,93949.5459319597,114900.01057768826,brake,178943.49350726488
LC_dv14_Tlc4p0_TTC05_CP1_S5p033_E15p033.mp4,CP1,1401103.1681631904,1406965.9915668424,ease_off,19819.5380543453
LC_dv14_Tlc4p0_TTC05_CP2_S5p333_E15p333.mp4,CP2,63101.14331213385,83408.74331213384,brake,179907.93936468536
LC_dv14_Tlc4p0_TTC05_CP4_S5p933_E15p933.mp4,CP4,73885.83942841261,94193.4394284126,brake,184458.59683464232
LC_dv14_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,137720.21106909806,140968.37731800284,ease_off,23115.713821621233
LC_dv14_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,63702.098393012326,74896.75262187116,ease_off,157597.4880013125
LC_dv14_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,63982.298653504404,83663.28772554654,ease_off,165834.47977644874
LC_dv21_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,7403240.892153824,7423757.507463484,brake,7300.065161521819
LC_dv21_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,135692.5311760964,162961.10952233343,brake,167769.98963726277
LC_dv21_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,141914.46285586417,176227.92748163812,brake,164173.03082181182
LC_dv21_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,141656.00674534764,185921.64759213218,brake,154128.59694273942
LC_dv21_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,119191.91728654789,195036.28672469844,brake_hard,149286.8292218548
LC_dv21_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,38368362.33731927,38388675.65801641,brake,13204.746350402776
LC_dv21_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,123037.13510128917,145445.9013115033,brake,203057.18542596867
LC_dv21_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,129504.1074527253,158293.3703029392,brake,197020.15068844904
LC_dv21_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,133224.87832832878,168867.6556165801,brake,189518.45009810512
LC_dv21_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,138220.40949207311,176824.9750427534,brake,181855.3304352427
LC_dv21_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,13031479.921429573,13051787.753973853,brake,16230.30446615651
LC_dv21_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,108410.44167434443,128758.05879825704,brake,217236.60712400166
LC_dv21_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,119692.90272463553,141498.77274429525,brake,215062.762844813
LC_dv21_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,122343.51985794959,151517.65817126143,brake,210454.19709725052
LC_dv21_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,126205.21639433736,159245.22004185035,brake,205852.18593767204
LC_dv21_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,70233.13579619974,90540.73579619973,brake,18588.69375830138
LC_dv21_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,92976.25957616545,113283.85957616544,brake,211948.40338062335
LC_dv21_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,115352.01437688502,135691.38075410406,brake,217986.57457410128
LC_dv21_Tlc2p0_TTC07_CP1_S5p033_E15p033.mp4,CP1,121593.58333703002,125763.10846358255,ease_off,21678.384068783926
LC_dv21_Tlc2p0_TTC07_CP3_S5p633_E15p633.mp4,CP3,80033.78522850406,98619.95998435632,ease_off,169310.49165415225
