video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,theta_dot,gate_g1,pred_B-log,pred_B-lin,pred_C,pred_C-log
LC_dv28_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.2916666666666667,12,4.0,3.7,28.77777777777778,28.0,0.017656171336974957,0.7545534039309789,0.2667815007477273,0.23797222366757495,0.23775154693469602,0.26149486942204425
LC_dv28_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.4583333333333333,12,4.0,3.4,26.444444444444443,28.0,0.020905313680123473,0.9318746013945377,0.37235269920054426,0.31823503332881414,0.31794675660086824,0.3662980449813779
LC_dv28_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.4583333333333333,12,4.0,3.1,24.11111111111111,28.0,0.02514083543290159,0.9403330754400755,0.4245129099820746,0.3542266134438443,0.3542290356988385,0.41975726147608733
LC_dv28_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.625,12,4.0,2.8,21.77777777777777,28.0,0.030806186440160553,0.9832172263274955,0.5009818771025639,0.41825197320397867,0.4191606385883264,0.4982997670070738
LC_dv28_Tlc4p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,0.25,12,5.0,4.7,36.55555555555556,28.0,0.010946636338191613,0.7633659258264385,0.17322102703633824,0.2157901794651584,0.21528853835892095,0.1715583847760811
LC_dv28_Tlc4p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,0.375,12,5.0,4.1,31.88888888888889,28.0,0.014381969772134668,0.9400930928972294,0.27375287892334793,0.28887849557177236,0.28806966471090395,0.2691936748455475
LC_dv28_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,0.0833333333333333,12,7.0,6.4,49.77777777777778,28.0,0.0059053952171543925,0.935388332463109,0.11726001839001923,0.2528849655653251,0.25166968660609784,0.1237156500504091
LC_dv28_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,0.25,12,7.0,5.8,45.11111111111111,28.0,0.00718983909013506,0.9806647860250347,0.14991102253984012,0.2732716720507631,0.2718534546517486,0.15585141942240416
LC_dv35_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.6363636363636364,11,2.0,1.7,16.527777777777775,35.0,0.06676528851016704,0.9639098953833413,0.6961198868634471,0.7440702705183958,0.7469948240756537,0.6998024495641838
LC_dv35_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,0.8,10,2.0,1.4,13.611111111111107,35.0,0.09829404161550273,0.9999880663507497,0.8090170970332456,0.9350429282334414,0.9245221298244185,0.8120205339782605
LC_dv35_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,0.8636363636363636,11,2.0,1.1,10.694444444444445,35.0,0.15875202439465907,0.9999974001604599,0.8905487343931684,0.9986012622113256,0.9929662271726736,0.8889698957892186
LC_dv35_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,0.9,10,2.0,0.8,7.777777777777778,35.0,0.2981008220942941,0.9999999035541652,0.9551284349251942,0.9999999034711612,0.999976006851003,0.9483448883699294
LC_dv35_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.6363636363636364,11,3.0,2.7,26.25,35.0,0.02651971268283517,0.9975469194209788,0.46372532223413776,0.39434940694274834,0.395795064758324,0.46249421058782975
LC_dv35_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.3,10,3.0,2.4,23.33333333333333,35.0,0.03355257316441963,0.9999975103330181,0.5317784358693923,0.4552144245484569,0.4588344994320839,0.5332958417593117
