a_other_min,response_time,a_max,tau_inv_mu,collision_ref_speed,counterfactual_residual_severity,rho_gap,rho_p,rows,n_rows
-2.0,0.5,4.0,0.1,1000000.0,False,-0.10276104309906466,0.388371163043859,0,24
-4.0,0.5,8.0,0.2,1000000.0,False,-0.10007145399844013,0.38710584604644943,0,24
-6.0,1.0,8.0,0.4,1000000.0,False,-0.09804904979099378,0.37101225001089067,5,24
-10.0,1.0,12.0,0.2,1000000.0,False,-0.09515347740256574,0.3642896881398243,6,24
-6.0,0.5,12.0,0.2,1000000.0,False,-0.0948987614832575,0.38163880225243946,0,24
-4.0,0.5,8.0,0.1,1000000.0,False,-0.0942815652172414,0.38158754636136083,0,24
-6.0,1.0,4.0,0.2,1000000.0,False,-0.09413737691577895,0.3642552662914039,5,24
-10.0,2.0,8.0,0.2,1000000.0,False,-0.09413737691577895,0.3642552662914039,5,24
-6.0,2.0,4.0,0.2,1000000.0,False,-0.09413737691577895,0.3642552662914039,5,24
-10.0,2.0,4.0,0.2,1000000.0,False,-0.09413737691577895,0.3642552662914039,5,24
-10.0,0.5,4.0,0.2,1000000.0,False,-0.09413737691577895,0.3642552662914039,5,24
-10.0,2.0,12.0,0.2,1000000.0,False,-0.09413737691577895,0.3642552662914039,5,24
-10.0,1.0,4.0,0.2,1000000.0,False,-0.09413737691577895,0.3642552662914039,5,24
-10.0,1.0,8.0,0.2,1000000.0,False,-0.09397811666642843,0.3641213477132428,5,24
-6.0,0.5,4.0,0.2,1000000.0,False,-0.09390024493567344,0.36410250363564034,5,24
-4.0,0.5,4.0,0.4,1000000.0,False,-0.0938633186633477,0.3685002088393059,3,24
-4.0,2.0,4.0,0.2,1000000.0,False,-0.09384699071980229,0.3640623029367553,5,24
-6.0,2.0,8.0,0.2,1000000.0,False,-0.09363497865284358,0.3639223542537614,4,24
-10.0,0.5,8.0,0.2,1000000.0,False,-0.09193561652846466,0.36279246336072113,5,24
-6.0,0.5,12.0,0.1,1000000.0,False,-0.08937439018402013,0.37636346554123784,0,24
-6.0,2.0,12.0,0.2,1000000.0,False,-0.08926235537138552,0.3607952423892341,4,24
-4.0,1.0,4.0,0.2,1000000.0,False,-0.0873369140286857,0.3596801755039078,4,24
-4.0,1.0,12.0,0.4,30.0,True,-0.08554335223000642,0.3762948730987651,0,24
-10.0,1.0,12.0,0.1,1000000.0,False,-0.0851874030607167,0.35536437922422076,6,24
-4.0,2.0,8.0,0.4,1000000.0,False,-0.0847061055248246,0.3615821710699106,3,24
-10.0,2.0,8.0,0.1,1000000.0,False,-0.08363398763172052,0.3549488044994957,5,24
-6.0,2.0,4.0,0.1,1000000.0,False,-0.08363398763172052,0.3549488044994957,5,24
-6.0,1.0,4.0,0.1,1000000.0,False,-0.08363398763172052,0.3549488044994957,5,24
-10.0,0.5,4.0,0.1,1000000.0,False,-0.08363398763172052,0.3549488044994957,5,24
-10.0,2.0,4.0,0.1,1000000.0,False,-0.08363398763172052,0.3549488044994957,5,24
-10.0,1.0,4.0,0.1,1000000.0,False,-0.08363398763172052,0.3549488044994957,5,24
-10.0,2.0,12.0,0.1,1000000.0,False,-0.08363398763172052,0.3549488044994957,5,24
-10.0,1.0,8.0,0.1,1000000.0,False,-0.08354958472354737,0.35490458373072203,4,24
-6.0,1.0,12.0,0.4,1000000.0,False,-0.0834141883916863,0.3631695961671373,2,24
-6.0,0.5,4.0,0.1,1000000.0,False,-0.08329838559207968,0.3547292081818356,4,24
-4.0,2.0,4.0,0.1,1000000.0,False,-0.08325116015536375,0.35471513793722587,4,24
-4.0,1.0,12.0,0.2,30.0,True,-0.08298740106732268,0.3746097100523739,0,24
-6.0,2.0,8.0,0.1,1000000.0,False,-0.08275680026463535,0.35445684844688885,4,24
-4.0,1.0,12.0,0.1,30.0,True,-0.08197833415621698,0.3737845907077566,0,24
-10.0,0.5,8.0,0.1,1000000.0,False,-0.0818258562834161,0.35382946628991274,5,24
-6.0,1.0,8.0,0.2,1000000.0,False,-0.08147241910544106,0.35548925264513265,5,24
-6.0,2.0,12.0,0.1,1000000.0,False,-0.07974592747486364,0.3522133981947304,4,24
-4.0,1.0,4.0,0.1,1000000.0,False,-0.07814377941436274,0.35134305306386726,4,24
-4.0,0.5,4.0,0.2,1000000.0,False,-0.07685010388730414,0.3527686703480813,3,24
-2.0,0.5,12.0,0.4,10.0,False,-0.07202758296138746,0.35791033973548975,3,24
-2.0,1.0,12.0,0.4,10.0,False,-0.07202758296138746,0.35791033973548975,3,24
-2.0,1.0,12.0,0.4,10.0,True,-0.07202758296138746,0.35791033973548975,3,24
-2.0,0.5,12.0,0.4,10.0,True,-0.07202758296138746,0.35791033973548975,3,24
