video,cp,eps,epistemic,g_alpha1,eps_continue,dg_planner,min_eps,p,n,ttc_start,ttc_true,distance
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,450022.4526836357,12.135850021615624,450010.3168336141,450022.4526836357,385018.1332628634,65004.31942077231,0.0576923076923076,26,3.0,3.0,11.666666666666666
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,450340.80478268664,30.261876459408086,450310.54290622723,450340.8047826866,385113.1986142885,65227.60616839805,0.9615384615384616,13,3.0,2.7,10.5
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,460129.53171947814,133.90370896772947,459995.6280105104,460129.5317194781,385877.1184173483,74252.41330212977,0.8076923076923077,13,3.0,2.4,9.333333333333332
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,450020.6686292214,28.304593875654973,449992.36403534573,450020.6686292214,387235.4770160855,62785.19161313586,0.9230769230769232,13,3.0,2.1,8.166666666666666
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,457717.44396734104,116.6918436678825,457600.75212367316,457717.443967341,383756.3053266105,73961.13864073047,0.8846153846153846,13,3.0,1.8,7.0
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,452857.0191453027,59.531662987719756,452797.487482315,452857.0191453027,389155.5895147176,63701.42963058513,0.0192307692307692,26,4.0,4.0,15.555555555555555
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,454732.9817698981,118.07645640784176,454614.90531349025,454732.9817698981,390760.09717138566,63972.884598512435,0.6923076923076923,13,4.0,3.7,14.38888888888889
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,457497.5125912723,129.2159740559291,457368.2966172164,457497.5125912723,392829.5376031215,64667.97498815082,0.4615384615384615,13,4.0,3.4,13.22222222222222
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,450021.4015089286,29.43856257823063,449991.9629463504,450021.4015089286,387249.2245322529,62772.17697667575,0.8076923076923077,13,4.0,3.1,12.055555555555555
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,450022.6376743051,58.605558532173745,449964.03211577295,450022.6376743051,387277.95747880975,62744.68019549537,0.6538461538461539,13,4.0,2.8,10.888888888888888
