cp,p,n,ttc_start,ttc_true,distance,lcd,gate_E,gate_G,gate_R,gate_G.1,gate_JJ.6e
CP3,0.9583333333333334,12,2.0,1.4,5.444444444444444,4.0,0.9949447982950128,0.9998753168219718,0.9999999987513142,0.9375274072042139,0.9167960264921207
CP4,0.9583333333333334,12,2.0,1.1,4.277777777777778,4.0,0.9948784830736114,0.9998658845869702,0.9999999984960558,0.9366533958742219,0.9157079563560244
CP5,0.9583333333333334,12,2.0,0.8,3.111111111111111,4.0,0.9985524987880322,0.9999998383724503,1.0,0.9812742618891324,0.9732153490959207
CP1,0.0,24,3.0,3.0,11.666666666666666,4.0,0.005769424261919176,6.481336704478121e-06,6.35704906500016e-13,0.06720057157626612,0.0497302512752519
CP2,0.5,12,3.0,2.7,10.5,4.0,0.9707450781909818,0.9395157131531158,0.9941969680449072,0.7692452858291812,0.721014725098186
CP3,0.7916666666666666,12,3.0,2.4,9.333333333333332,4.0,0.9943761643275941,0.9997852056277527,0.9999999950078595,0.930671138710811,0.9082907754163152
CP4,0.875,12,3.0,2.1,8.166666666666666,4.0,0.995297717231896,0.9999129179893694,0.9999999995005342,0.9416395400907686,0.9219311556160715
CP5,0.9166666666666666,12,3.0,1.8,7.0,4.0,0.9986729333280484,0.9999999004963509,1.0,0.9827914821129783,0.9752724149239371
CP1,0.0416666666666666,24,4.0,4.0,15.555555555555555,4.0,0.005865466996362589,7.1454016938047325e-06,8.172488456495839e-13,0.06825831495507272,0.05056562151749423
CP2,0.5416666666666666,12,4.0,3.7,14.38888888888889,4.0,0.969258702538882,0.9352356967469379,0.9931937714983334,0.765231418264879,0.7165853157838987
CP3,0.6666666666666666,12,4.0,3.4,13.22222222222222,4.0,0.9948258882428448,0.9998587421566534,0.9999999982833174,0.9360232956005555,0.9149242496756804
CP4,0.6666666666666666,12,4.0,3.1,12.055555555555555,4.0,0.9945004100872312,0.9998078348014636,0.9999999962396381,0.9321398346137548,0.9101069856306734
CP5,0.6666666666666666,12,4.0,2.8,10.888888888888888,4.0,0.9986874159626073,0.9999999060655501,1.0,0.9829628745313245,0.9755054699303033
CP1,0.0,12,5.0,5.0,19.444444444444443,4.0,0.005821256848761669,6.805647248931083e-06,7.208909158995782e-13,0.06772784818573144,0.05014654965977316
CP2,0.2916666666666667,12,5.0,4.7,18.27777777777778,4.0,0.5601806822997815,0.5255816771031807,0.5415888299258457,0.5693609688929139,0.5096703807945036
CP4,0.5833333333333334,12,5.0,4.1,15.944444444444445,4.0,0.9944615356470994,0.9998018948494366,0.9999999959366257,0.9317416850449268,0.9096143277283701
CP1,0.0,12,7.0,7.0,27.22222222222222,4.0,0.005748081432042862,6.402593456128709e-06,6.160016467559943e-13,0.06706924964162596,0.04962660867472554
CP3,0.375,12,7.0,6.4,24.88888888888889,4.0,0.9948350351699347,0.9998616408671059,0.9999999983717137,0.9362759180631297,0.9152383851469224
CP5,0.375,12,7.0,5.8,22.55555555555556,4.0,0.9986454925467789,0.9999998883849436,1.0,0.9824442744800443,0.9748007219482255
