video,p,n,deficit_max,distance,ttc_true,dv_kph,cp,lcd,ttc_start,gap_trace,vrel_trace,p_lane_end,a_req
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,0.02,25,991.9828671669591,7.777777777777778,4.0,7.0,CP1,4.0,4.0,9.545000000000002,1.6600000000000001,0.0,0.24305555555555558
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,0.5769230769230769,13,5277.192041227994,7.194444444444445,3.7,7.0,CP2,4.0,4.0,8.990999999999971,1.809000000000001,1.0,0.2627627627627628
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,0.7083333333333334,12,6217.846568174787,6.611111111111111,3.4,7.0,CP3,4.0,4.0,8.435000000000045,1.809000000000001,1.0,0.2859477124183007
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,0.7307692307692307,13,6427.172803111108,6.027777777777778,3.1,7.0,CP4,4.0,4.0,7.887000000000042,1.8079999999999998,1.0,0.31362007168458783
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,0.8333333333333334,12,6568.454327469068,5.444444444444444,2.8,7.0,CP5,4.0,4.0,7.331000000000002,1.8079999999999998,1.0,0.34722222222222227
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,0.041666666666666664,12,1033.5053644621973,11.666666666666666,6.0,7.0,CP1,4.0,6.0,13.233999999999966,1.8049999999999997,0.0,0.16203703703703706
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,0.4583333333333333,12,5355.689201366867,10.5,5.4,7.0,CP3,4.0,6.0,12.128000000000029,1.6630000000000003,1.0,0.1800411522633745
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,0.7083333333333334,12,5540.445245170204,9.333333333333332,4.8,7.0,CP5,4.0,6.0,11.01100000000001,1.8079999999999998,1.0,0.20254629629629634
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,0.038461538461538464,13,1005.6933146023938,13.61111111111111,7.0,7.0,CP1,4.0,7.0,15.183000000000035,1.8049999999999997,0.0,0.1388888888888889
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,0.3076923076923077,13,3664.810478046569,13.02777777777778,6.7,7.0,CP2,4.0,7.0,14.623000000000033,1.809000000000001,1.0,0.1451077943615257
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,0.5769230769230769,13,4942.786808982689,11.86111111111111,6.1,7.0,CP4,4.0,7.0,13.506000000000014,1.8079999999999998,1.0,0.15938069216757744
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,0.07692307692307693,26,1019.3296682387962,7.777777777777778,2.0,14.0,CP1,2.0,2.0,9.080000000000027,3.748000000000001,0.0,0.9722222222222223
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,0.9230769230769231,13,8106.448403366461,6.611111111111111,1.7,14.0,CP2,2.0,2.0,7.930000000000049,3.7620000000000005,1.0,1.1437908496732028
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,1.0,13,8106.448403366461,5.444444444444444,1.4,14.0,CP3,2.0,2.0,6.7730000000000095,3.7590000000000003,1.0,1.388888888888889
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,0.9230769230769231,13,8106.448403366461,4.277777777777778,1.1,14.0,CP4,2.0,2.0,5.6170000000000035,3.7560000000000002,1.0,1.7676767676767677
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,1.0,13,8630.245302973395,3.111111111111111,0.8,14.0,CP5,2.0,2.0,4.46400000000004,3.766000000000002,1.0,2.430555555555556
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,0.057692307692307696,26,1019.329668238745,11.666666666666666,3.0,14.0,CP1,2.0,3.0,12.987999999999985,3.7459999999999987,0.0,0.6481481481481483
