video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,x_rel,v_ego,v_oth,l0,ldot,gate_g1,demand_P1,demand_P2,demand_released
LC_dv28_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.0,24,2.0,2.0,15.555555555555555,28.0,21.029506063902186,32.626,24.991,1.6340000000000001,-0.003333333333334447,0.06812539860546084,15.83100205664661,4.440031316335495,14.94210297404089
LC_dv28_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.6666666666666666,12,2.0,1.7,13.22222222222222,28.0,18.725362606574368,32.626,24.987,1.4320000000000002,-0.6733333333333332,0.7716961802889222,17.00487885127739,6.854951797324085,15.983520128814236
LC_dv28_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,0.7916666666666666,12,2.0,1.4,10.888888888888888,28.0,16.41925913747653,32.477,24.988,1.1990000000000005,-0.8600000000000001,0.938881822275994,18.094590044553147,13.351952623185916,16.932654654182947
LC_dv28_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,0.9166666666666666,12,2.0,1.1,8.555555555555555,28.0,14.114033035138407,32.626,24.977,0.9689999999999992,-0.766666666666671,0.9325361882255854,19.974344546323923,inf,18.579759653604572
LC_dv28_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,0.9166666666666666,12,2.0,0.8,6.222222222222222,28.0,11.813915396744694,32.626,24.988,0.7279999999999995,-0.8800000000000008,0.9813204598217244,21.820435765490558,inf,20.166825050287258
LC_dv28_Tlc4p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,0.0,24,3.0,3.0,23.33333333333333,28.0,29.24957893681164,32.623,24.991,1.639,-0.0066666666666659324,0.06879198247347298,12.717478505337048,1.9694712788650277,12.137333577681778
LC_dv28_Tlc4p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,0.375,12,3.0,2.7,21.0,28.0,26.945403370713898,32.477,24.976,1.4919999999999989,-0.49000000000000377,0.5510374230668955,13.310298070599782,2.2301887511630962,12.670714825179482
LC_dv28_Tlc4p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,0.5,12,3.0,2.4,18.666666666666664,28.0,24.635302681527815,32.626,24.987,1.2610000000000008,-0.8399999999999993,0.9225191252157893,14.303940631695509,2.8699873901074118,13.574305645599944
LC_dv28_Tlc4p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,0.6666666666666666,12,3.0,2.1,16.333333333333332,28.0,22.33007073212557,32.477,24.988,1.0250000000000001,-0.7866666666666688,0.9330618737386368,15.043687395632706,3.5004759585438667,14.231753107704884
LC_dv28_Tlc4p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,0.7916666666666666,12,3.0,1.8,14.0,28.0,20.023902228303097,32.626,24.988,0.7879999999999991,-0.7900000000000034,0.9598099465153931,16.325385615803853,5.250186342625582,15.381755731550525
LC_dv28_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.0,24,4.0,4.0,31.11111111111111,28.0,36.50951022726008,32.626,24.991,1.6449999999999994,-0.003333333333334447,0.06667647449733112,10.839816303743824,1.3221710167077105,10.415551954476877
LC_dv28_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.2916666666666667,12,4.0,3.7,28.77777777777778,28.0,34.20336913179472,32.626,24.976,1.4470000000000007,-0.6599999999999955,0.7545534039309789,11.38924439908503,1.483582739057998,10.921808774130506
LC_dv28_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.4583333333333333,12,4.0,3.4,26.444444444444443,28.0,31.89926597999701,32.626,24.988,1.214000000000001,-0.8466666666666622,0.9318746013945377,11.966467819469033,1.67340238129996,11.451522022806063
LC_dv28_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.4583333333333333,12,4.0,3.1,24.11111111111111,28.0,29.589033767605617,32.626,24.988,0.9770000000000001,-0.7900000000000034,0.9403330754400755,12.622092514179108,1.9290692983234385,12.050522339257942
LC_dv28_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.625,12,4.0,2.8,21.77777777777777,28.0,27.282915311090612,32.623,24.988,0.7349999999999992,-0.89666666666667,0.9832172263274955,13.348884559307466,2.273896479467381,12.711147108673147
LC_dv28_Tlc4p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0,12,5.0,5.0,38.888888888888886,28.0,44.31651027692361,32.626,24.991,1.6500000000000001,-0.0066666666666659324,0.06733209223175714,9.352698506065234,0.9763865288427789,9.035153845808185
LC_dv28_Tlc4p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,0.25,12,5.0,4.7,36.55555555555556,28.0,42.012368808896085,32.626,24.987,1.4489999999999996,-0.6700000000000017,0.7633659258264385,9.750344959442842,1.059317061120578,9.405721816769486
LC_dv28_Tlc4p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,0.375,12,5.0,4.1,31.88888888888889,28.0,37.4020352703329,32.477,24.988,0.978999999999999,-0.7900000000000034,0.9400930928972294,10.520542617756718,1.214855852862696,10.116902892297194
LC_dv28_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.0416666666666666,12,7.0,7.0,54.44444444444444,28.0,59.88251615242129,32.626,24.991,1.6620000000000006,-0.003333333333334447,0.06448428486105212,7.343875177297222,0.641748271794166,7.146650984361821
