lead,t_react,standoff,post,cp1,rows,n_rows,rho_p,rho_gap,level,sigma,lapse,n_cap,train_full
stops,2.0,40.0,0.31116005380393397,0.5358916490230071,4,24,0.20835945013305646,-0.2259410710644411,99.52895894751447,0.033606173978036696,0.03176272768321925,283,0.2708082712748205
holds,0.0,0.0,0.2924907108910416,0.5047920564573847,0,24,0.15663322930303886,0.17137583466033213,3.2224242455263,0.4153569192237856,0.5088725058046905,0,0.2604414024920602
holds,0.0,2.0,0.28628520008094105,0.4946044440179009,0,24,0.2890216683628221,0.02219570405735343,3.3772016844680612,0.4997410688781835,0.48754065039673344,0,0.25305146687174357
holds,0.0,5.0,0.2413237670971372,0.46843683289042143,1,24,0.5883610946450263,-0.3886064493495112,3.659782892051855,0.6950724051540731,0.39888781009629426,17,0.2159735927375717
holds,0.0,10.0,0.1621336186489292,0.5035901135811903,13,24,0.8472145915204751,-0.8054120533823527,3.4129699982524295,2.452361940622234,3.6157782528777344e-09,77,0.1577234410497795
holds,0.0,20.0,0.17881692703042476,0.5271621215793638,20,24,0.8023514938630204,-0.8805147670730145,15.661849860977961,2.8196572744252912,1.8608650098654214e-08,166,0.16261895287205597
holds,0.0,30.0,0.23992551511048252,0.5369153419212294,17,24,0.6508664538630945,-0.7341678456990534,38.61986969314731,2.428143630618783,0.02133243501336015,222,0.20477820496580842
holds,0.0,40.0,0.2722965460403588,0.5424475080071736,13,24,0.49709679105823723,-0.5596770421630923,75.46245975371313,1.4647356232780246,0.0919811820869517,254,0.23499437853949004
holds,0.5,0.0,0.2853452151455689,0.49740222489093316,0,24,0.21728703876345506,0.10330715001087541,4.453765500955522,0.5503999197270942,0.49732564587810635,0,0.2558239797907215
holds,0.5,2.0,0.2692792630427998,0.47744551353841996,1,24,0.3902306966216644,-0.10558703332807616,4.9056056248231386,0.687955154258095,0.46299624152070973,0,0.24068077467565993
holds,0.5,5.0,0.22539904487575918,0.46532824462733047,5,24,0.6739111602024559,-0.5013081407825408,5.77500189011558,1.0624813052244402,0.35380199707301324,41,0.19912140965656466
holds,0.5,10.0,0.14546670399852857,0.49373942690700684,12,24,0.8674870354691481,-0.8257652028451706,6.051098933379949,2.7576873252424727,3.788044384913346e-08,106,0.14258132658057254
