video,cp,ttc_start,ttc_true,distance,dv_kph,lcd,p,n,deficit_max,deficit_horizon,p_lane_end,p_lane_end_h,p_lane_max_h
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,4.0,2.8,10.888888888888888,14.0,3.0,0.7916666666666666,12,7200.899305337409,7200.899305337409,1.0,1.0,1.0
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,6.0,6.0,23.33333333333333,14.0,3.0,0.041666666666666664,12,1048.35142278874,1048.35142278874,0.0,0.0,0.0
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,6.0,5.4,21.0,14.0,3.0,0.2916666666666667,12,4267.060226946061,4187.882281429584,1.0,1.0,1.0
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,6.0,4.8,18.666666666666664,14.0,3.0,0.4166666666666667,12,5227.2414978009765,5227.2414978009765,1.0,1.0,1.0
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,7.0,7.0,27.22222222222222,14.0,3.0,0.041666666666666664,12,1006.5287119933965,1006.5287119933965,0.0,0.0,0.0
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,7.0,6.7,26.05555555555556,14.0,3.0,0.20833333333333334,12,1758.5045009894188,1756.0273203177376,1.0,0.998591313999886,0.998591313999886
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,7.0,6.1,23.72222222222222,14.0,3.0,0.4583333333333333,12,3747.444926921974,3747.444926921974,1.0,1.0,1.0
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,2.0,2.0,7.777777777777778,14.0,4.0,0.041666666666666664,24,1048.35142278874,1048.35142278874,0.0,0.0,0.0
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2.0,1.7,6.611111111111111,14.0,4.0,0.7916666666666666,12,1048.35142278874,4139.003084313015,0.054505260379058756,0.5792223667603796,0.5792223667603796
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,2.0,1.4,5.444444444444444,14.0,4.0,0.9583333333333334,12,1227.3426960960876,6674.5389838048995,0.020316516184137868,0.7111673938610046,0.899808037359596
LC_dv14_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,2.0,1.1,4.277777777777778,14.0,4.0,0.9583333333333334,12,1227.3426960960876,7489.410188050473,0.04865315604295747,0.9780644652474598,0.981555848434083
LC_dv14_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,2.0,0.8,3.111111111111111,14.0,4.0,0.9583333333333334,12,1227.3426960960876,8380.25680056542,0.047536791820003706,0.9965169651035841,0.9984604332786788
LC_dv14_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,3.0,3.0,11.666666666666666,14.0,4.0,0.0,24,1006.5287119933965,1006.5287119933965,0.0,0.0,0.0
LC_dv14_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,3.0,2.7,10.5,14.0,4.0,0.5,12,6317.619789995417,4719.9788357981615,0.8289573206653011,0.5846730517663296,0.5846730517663296
