p_change,x_rel,y_rel,vy_oth,v_ego,v_oth,dg_A,G_A_continue,G_A_ease_off,G_A_brake,G_A_brake_hard,dg_B,G_B_continue,G_B_ease_off,G_B_brake,G_B_brake_hard,video,trace,e_t,cp,p,n,ttc_start,ttc_true,distance,dv_kph,lcd
1.0,12.415003508078875,2.68174157859953,-1.0452866369911886,26.651,24.986,149060.045483447,169367.645483447,51235.587512732876,20307.599999999995,61894.01281600004,35275.55338459844,38858.67913949737,3583.1257548989315,20307.599999999995,61894.01281600004,LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,LC_dv07_Tlc3p0_TTC04,15.933,CP4,0.875,12,4.0,3.1,6.027777777777778,7.0,3.0
1.0,11.850468852895755,2.3626444858566122,-1.0688328170517802,26.796,24.987,151033.79026591626,171443.21844099782,60833.23528087649,20409.428175081543,62018.009856000084,42652.36096745546,46850.178786999924,4197.817819544461,20307.60004897448,62018.009856000084,LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,LC_dv07_Tlc3p0_TTC04,16.233,CP5,0.75,12,4.0,2.8,5.444444444444444,7.0,3.0
0.07000000000000002,15.893176950524499,3.5021352657079943,0.0011524930533690608,26.796,24.991,19564.29619332358,30594.34306355654,11030.046870232962,20307.599999999995,62018.009856000084,3686.139735552481,6182.720748827126,2496.581013274645,20307.599999999995,62018.009856000084,LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc3p0_TTC05,15.067,CP1,0.0416666666666666,12,5.0,5.0,9.72222222222222,7.0,3.0
1.0,14.775967385842705,2.9280894474917796,-1.0197087037706793,26.793,24.985,151283.02234350142,171590.62234350143,43614.77769972692,20307.599999999995,62015.43758400001,28261.975620488276,31410.242838765174,3148.2672182768993,20307.599999999995,62015.43758400001,LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,LC_dv07_Tlc3p0_TTC05,15.667,CP3,0.75,12,5.0,4.4,8.555555555555555,7.0,3.0
1.0,13.651796271415257,2.291323321526635,-1.061403348461942,26.796,24.987,152550.17991475918,172857.7799147592,51405.76648733622,20307.599999999995,62018.009856000084,34005.155994216686,37511.27127323443,3506.115279017743,20307.599999999995,62018.009856000084,LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,LC_dv07_Tlc3p0_TTC05,16.267,CP5,0.6666666666666666,12,5.0,3.8,7.388888888888888,7.0,3.0
0.07000000000000002,18.72561156487447,3.4990526605697068,-0.0019503408617863917,26.796,24.983,24390.99319268362,30368.401387911967,5977.408195228345,20307.599999999995,62018.009856000084,1578.94692958411,3993.3204042918373,2414.3734747077274,20307.599999999995,62018.009856000084,LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc3p0_TTC06,15.067,CP1,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0,3.0
1.0,18.16641477884687,3.2334623985587854,-0.885277773453778,26.796,24.984,137664.83011560986,157967.07696235192,20302.24684674204,20307.599999999995,62018.009856000084,13814.992451095331,16495.561560191447,2680.569109096116,20307.599999999995,62018.009856000084,LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,LC_dv07_Tlc3p0_TTC06,15.367,CP2,0.25,12,6.0,5.7,11.083333333333334,7.0,3.0
1.0,17.041951042705474,2.611298653549334,-1.0519417367907813,26.796,24.986,143085.21242884744,163392.81242884745,27344.654042435046,20307.599999999995,62018.009856000084,17622.035456277128,20441.505925408408,2819.47046913128,20307.599999999995,62018.009856000084,LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,LC_dv07_Tlc3p0_TTC06,15.967,CP4,0.375,12,6.0,5.1,9.916666666666666,7.0,3.0
0.07000000000000002,10.037175325959996,3.5017710484753763,0.004487751535492032,26.796,24.991,9473.417897457037,23561.65160515737,14088.233707700334,20613.380080440882,62018.009856000084,8819.098353052192,11780.779432791662,2961.681079739471,20307.664082222993,62018.009856000084,LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc4p0_TTC02,15.067,CP1,0.0,25,2.0,2.0,3.888888888888889,7.0,4.0
1.0,9.481465192448582,3.30393398910839,-0.6552851181904361,26.796,24.987,139599.92666715514,162592.40876644177,72226.14201252474,22992.48209928664,62018.009856000084,58398.33894213734,65188.78114170489,6790.442199567547,20309.663130461617,62018.009856000084,LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,LC_dv07_Tlc4p0_TTC02,15.367,CP2,0.6538461538461539,13,2.0,1.7,3.305555555555556,7.0,4.0
