video,cp,n_windows,vy_last,p_now,gp_1,gc_1,gp_2,gc_2,gp_3,gc_3,gp_4,gc_4,gp_6,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,52,-1.507712463275418,0.9999811738466835,0.9999816237916034,1.0,0.9999820629828432,1.0,0.9999824916774157,1.0,0.9999829101261911,1.0,0.9999837172599966,1.0,0.4,10,7.0,6.4,12.444444444444445,7.0,2.0,-3.7509387489017034,0.9999957165710589
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,54,-1.6512109897983949,0.9999999999999954,0.9999999999999956,1.0,0.9999999999999957,1.0,0.9999999999999958,1.0,0.9999999999999959,1.0,0.9999999999999961,1.0,0.35,10,7.0,5.8,11.277777777777777,7.0,2.0,-3.555294945454257,0.9999999982799959
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,50,0.004456881393541194,6.515097828590135e-05,0.023963586201896793,0.085,0.047290849006928745,0.085,0.07006059040980572,0.085,0.09228613516776378,0.085,0.13515634908111915,0.085,0.0625,24,2.0,2.0,3.888888888888889,7.0,3.0,-1.4758358334005228,0.06654594577985537
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,51,-0.7452685704029287,0.03910296567246464,0.06206839742424644,0.11,0.08448495553327127,0.11,0.10636575807539196,0.11,0.12772360960454898,0.11,0.16892015501011437,0.11,0.75,12,2.0,1.7,3.305555555555556,7.0,3.0,-1.1718197333747336,0.8406103904737934
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,52,-1.0017426276752839,0.6300071658340942,0.6388499917333664,0.605,0.6474814741614574,0.605,0.6559066642257075,0.605,0.6641304923120307,0.605,0.679993197729908,0.605,0.9166666666666666,12,2.0,1.4,2.722222222222222,7.0,3.0,-0.818459091831626,0.9924147461700809
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,53,-1.0686108832993633,0.9962083936811029,0.9962990130430486,1.0,0.9963874666029386,1.0,0.9964738061234257,1.0,0.9965580821300352,1.0,0.996720639694786,1.0,0.875,12,2.0,1.1,2.138888888888889,7.0,3.0,-0.4001972745314972,0.995487571676805
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,54,-1.0793697565084017,0.9999757293305751,0.9999763093993882,1.0,0.9999768756045612,1.0,0.9999774282774349,1.0,0.9999779677414311,1.0,0.9999790082980144,1.0,0.9583333333333334,12,2.0,0.8,1.5555555555555556,7.0,3.0,0.1018040459973522,0.9995847498906949
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,50,0.0011524930533690608,6.67835921886736e-05,0.02396517979633981,0.085,0.04729240451447679,0.085,0.0700621087407353,0.085,0.09228761721059578,0.085,0.13515776112888364,0.085,0.0416666666666666,24,3.0,3.0,5.833333333333333,7.0,3.0,-2.2555553199780123,0.06772784818573098
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,51,-0.8486109444080897,0.10111043699066348,0.1225938906534451,0.155,0.14356388993843228,0.155,0.1640327064013169,0.155,0.18401231830770373,0.155,0.22255041695322453,0.155,0.75,12,3.0,2.7,5.25,7.0,3.0,-2.0507658466895697,0.9099429885674447
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,52,-1.022693377387466,0.8038166055235896,0.8085053871471419,0.75,0.8130821069258474,0.75,0.8175494431369382,0.75,0.8219100100468419,0.75,0.8303209821173526,0.75,0.875,12,3.0,2.4,4.666666666666666,7.0,3.0,-1.8234337124089448,0.9943181824729044
