video,l0,ldot,trace,cp,e_t,lat_center,half_widths
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,1.635999999999999,-0.003333333333337407,LC_dv14_Tlc2p0_TTC05,CP1,15.067,3.517999999999999,1.882
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,0.7790000000000006,-1.7066666666666623,LC_dv14_Tlc2p0_TTC05,CP3,15.667,2.6610000000000005,1.882
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,-0.19299999999999984,-1.826666666666664,LC_dv14_Tlc2p0_TTC05,CP5,16.267,1.689,1.882
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,1.6389999999999991,-0.006666666666671854,LC_dv14_Tlc2p0_TTC06,CP1,15.067,3.520999999999999,1.882
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,1.2440000000000004,-1.3166666666666624,LC_dv14_Tlc2p0_TTC06,CP2,15.367,3.1260000000000003,1.882
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,0.30400000000000005,-1.5966666666666671,LC_dv14_Tlc2p0_TTC06,CP4,15.967,2.186,1.882
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,1.628,-0.003333333333331486,LC_dv14_Tlc3p0_TTC02,CP1,15.033,3.51,1.882
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,1.4289999999999992,-0.6633333333333358,LC_dv14_Tlc3p0_TTC02,CP2,15.333,3.310999999999999,1.882
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,1.1220000000000006,-1.1366666666666674,LC_dv14_Tlc3p0_TTC02,CP3,15.633,3.0040000000000004,1.882
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,0.8079999999999996,-1.04666666666667,LC_dv14_Tlc3p0_TTC02,CP4,15.933,2.6899999999999995,1.882
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,0.48600000000000043,-1.0733333333333306,LC_dv14_Tlc3p0_TTC02,CP5,16.233,2.3680000000000003,1.882
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,1.6300000000000006,-0.0066666666666659324,LC_dv14_Tlc3p0_TTC03,CP1,15.067,3.5120000000000005,1.882
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,1.3650000000000009,-0.8833333333333323,LC_dv14_Tlc3p0_TTC03,CP2,15.367,3.2470000000000008,1.882
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,1.062,-1.1233333333333326,LC_dv14_Tlc3p0_TTC03,CP3,15.667,2.944,1.882
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,0.7529999999999999,-1.0300000000000007,LC_dv14_Tlc3p0_TTC03,CP4,15.967,2.635,1.882
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,0.43700000000000006,-1.1733333333333344,LC_dv14_Tlc3p0_TTC03,CP5,16.267,2.319,1.882
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,1.6330000000000007,-0.0066666666666659324,LC_dv14_Tlc3p0_TTC04,CP1,15.067,3.5150000000000006,1.882
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,1.3669999999999998,-0.8866666666666697,LC_dv14_Tlc3p0_TTC04,CP2,15.367,3.2489999999999997,1.882
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,1.059,-1.140000000000002,LC_dv14_Tlc3p0_TTC04,CP3,15.667,2.941,1.882
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,0.7419999999999989,-1.0566666666666702,LC_dv14_Tlc3p0_TTC04,CP4,15.967,2.6239999999999988,1.882
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,0.4230000000000007,-1.183333333333329,LC_dv14_Tlc3p0_TTC04,CP5,16.267,2.3050000000000006,1.882
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,1.6389999999999991,-0.003333333333337407,LC_dv14_Tlc3p0_TTC06,CP1,15.067,3.520999999999999,1.882
