eps,eps_step0,eps_last,term_speed,term_accel,term_steer,term_lateral,term_collision,term_safety,collision_share,collide_frac,gap_m,v_ego,v_other,dv,seed,tag,mode,eps_lo,eps_hi,deposit_eps,deposit_share,thw,part,ttc,dv_kph,dG,a_best_first,omega_best_first,omega_best_max,acts_brake,acts_steer,acts
2084537.7055961085,433041.2093216181,563451.4052257553,7.563999999999672,15.000000000000002,-6.394884621840902e-14,0.0,2064744.497420209,37466.656358467764,0.9997333525898043,0.05333333333333334,23.333333333333336,30.5,18.833333333333332,11.666666666666668,4.0,ttc2_dv42,certain,431547.3573039896,14510027.13198078,,,,B2,2.0,42.0,,,,,,,
204598.1684967209,93624.82805558365,150627.326988171,7.563999999999664,15.0,-6.394884621840902e-14,0.0,190482.6844565792,8227.308132668466,0.9925574419876199,0.02666666666666667,5.833333333333334,30.5,28.555555555555557,1.9444444444444429,4.0,ttc3_dv7,certain,102332.10094091989,1746239.4471787997,,,,B2,3.0,7.0,,,,,,,
266983.6472187147,155305.88654733877,196512.66320990334,7.563999999999666,15.000000000000005,-3.552713678800501e-14,0.0,248900.20838981553,10883.279089852556,0.9998324025492049,0.4927465494532901,11.666666666666668,30.5,26.61111111111111,3.8888888888888893,4.0,ttc3_dv14,certain,134632.11936067592,487750.49319438543,,,,B2,3.0,14.0,,,,,,,
346164.9641488361,238457.05327605523,918026.6195118187,7.563999999999664,15.000000000000002,-9.947598300641403e-14,0.0,332727.8685791092,16474.12725347162,0.9974965646509464,0.0,17.5,30.5,24.666666666666664,5.833333333333336,4.0,ttc3_dv21,certain,147429.41867797181,4137993.934798737,,,,B2,3.0,21.0,,,,,,,
509180.4418445764,250145.0345882727,169330.46651006243,7.5639999999996705,15.0,-2.1316282072803006e-14,0.0,479404.81395707856,30035.467631212032,0.998225838877163,0.013333333333333334,23.333333333333336,30.5,22.72222222222222,7.777777777777779,4.0,ttc3_dv28,certain,235336.67449162912,12146662.27957933,,,,B2,3.0,28.0,,,,,,,
731387.5547439675,243451.86626188207,2159320.8558068457,7.563999999999672,14.999999999999995,0.0,0.0,680422.047741885,37148.47408965613,0.9999691490512058,0.013333333333333334,29.16666666666667,30.5,20.77777777777778,9.722222222222221,4.0,ttc3_dv35,certain,186287.65167057692,2507364.5544366245,,,,B2,3.0,35.0,,,,,,,
589783.6881043897,395463.59493417584,519860.3062739809,7.563999999999676,15.000000000000002,-3.552713678800501e-14,0.0,518486.5707949846,49497.94250696417,0.9999662828101915,0.6070416911288244,35.0,30.5,18.833333333333332,11.666666666666668,4.0,ttc3_dv42,certain,293280.57506255695,75229414.13987911,,,,B2,3.0,42.0,,,,,,,
147368.56304932828,91056.87463411989,164306.94823701662,7.563999999999665,15.0,-4.973799150320701e-14,0.0,141090.48768695354,7724.855299448349,0.9882279140815484,0.0,7.777777777777779,30.5,28.555555555555557,1.9444444444444429,4.0,ttc4_dv7,certain,36595.969697083034,506423.5294523977,,,,B2,4.0,7.0,,,,,,,
162603.34815912828,302534.50523947144,150758.2745697843,7.563999999999663,15.000000000000002,-4.263256414560601e-14,0.0,139425.17913688984,13156.670531994176,0.9998010536135352,0.6193344593242968,15.555555555555557,30.5,26.61111111111111,3.8888888888888893,4.0,ttc4_dv14,certain,100342.25771773179,543669.8731059863,,,,B2,4.0,14.0,,,,,,,
198397.7810494026,143645.92745299428,225995.0640188975,7.56399999999966,15.0,-9.947598300641403e-14,0.0,168061.20908255837,12648.173371264556,0.9998870464672793,0.0,23.333333333333336,30.5,24.666666666666664,5.833333333333336,4.0,ttc4_dv21,certain,116264.87614243393,3118051.2561436887,,,,B2,4.0,21.0,,,,,,,
