exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
5,15,20.0,1.21,0.8,0.8,0.4,8,6,4,-62.5572006225586,0,1.2800000000000002,6229.8883691417195
5,16,20.0,1.21,0.8,1.6,0.4,12,6,4,-68.33632965087891,0,1.2800000000000002,7912.176331951887
5,17,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-85.58306427001953,0,1.2800000000000002,5729.161753956363
5,18,20.0,1.21,0.8,0.8,0.4,8,6,4,-42.31716461181641,0,1.2800000000000002,6446.936980067534
5,19,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-56.145564270019534,0,1.2800000000000002,62677.792220931384
5,20,20.0,1.21,0.8,0.8,0.4,8,6,4,-78.3511459350586,0,1.2800000000000002,5553.621253101111
5,21,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-65.68241424560547,0,1.2800000000000002,5637.042044006092
5,22,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-63.10319061279297,0,1.2800000000000002,11807.657532395171
5,23,20.0,1.21,0.8,1.0,0.4,9,6,4,-58.123286437988284,0,1.2800000000000002,5254.691782321906
5,24,20.0,1.21,0.8,0.8,0.4,8,6,4,-50.49219818115235,0,1.2800000000000002,7225.170445163332
5,25,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-44.96299285888672,0,1.2800000000000002,5687.283971536424
5,26,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-78.4395248413086,0,1.2800000000000002,22139.518069867634
5,27,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-58.760554504394534,0,1.2800000000000002,57356.85731895049
5,28,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-23.299319458007812,0,1.2800000000000002,9616.133881007125
5,29,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-73.3317367553711,0,1.2800000000000002,6119.848596075083
5,30,20.0,1.21,0.8,1.4000000000000001,0.4,11,6,4,-111.05041046142578,0,1.2800000000000002,6787.920368786705
5,31,20.0,1.21,0.8,0.6000000000000001,0.4,7,6,4,-33.911624145507815,0,1.2800000000000002,6956.72575685393
6,0,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-16.157046508789062,0,1.2800000000000002,5354.301547545058
6,1,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-33.66954727172852,0,1.2800000000000002,5619.526836622696
6,2,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-33.264556121826175,0,1.2800000000000002,5216.10077865448
6,3,15.0,1.28,0.8,0.8,0.4,8,6,4,-38.44506759643555,0,1.2800000000000002,7738.902484411087
6,4,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-8.484534454345702,0,1.2800000000000002,10000.094862304335
6,5,15.0,1.28,0.8,1.0,0.4,9,6,4,-54.177283477783206,0,1.2800000000000002,30424.458822860073
6,6,15.0,1.28,0.8,1.2000000000000002,0.4,10,6,4,-41.519568634033206,0,1.2800000000000002,17338.04070094702
6,7,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-14.62389678955078,0,1.2800000000000002,5980.100970848812
6,8,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-16.79307861328125,0,1.2800000000000002,5264.2016547051535
6,9,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-27.272643280029296,0,1.2800000000000002,5897.879177988603
6,10,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-21.457335662841796,0,1.2800000000000002,5235.897158731961
6,11,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-26.52664108276367,0,1.2800000000000002,6288.511103142826
6,12,15.0,1.28,0.8,0.6000000000000001,0.4,7,6,4,-7.993685913085938,0,1.2800000000000002,6043.82926068881
