v0,time_gap,repeat,response_time,min_decel,inv_ttc_at_onset,max_lateral,maneuver,collided,min_clearance
35.0,2.5,2,0.0,-7.742729580952594,0.0,4.162279293756563,both,0,37.35967656460532
35.0,2.5,3,4.800000000000001,-2.8922839770727644,0.22320867027755117,22.808367629875473,both,0,75.14221164424946
35.0,2.5,4,0.6000000000000001,-6.719794835244632,0.1204825293675482,4.149854340807561,both,1,-0.2030963313577323
35.0,3.0,0,0.0,-6.889616000869923,0.0,0.3884075662145895,brake,0,46.67388661841484
35.0,3.0,1,4.0,-5.098813345557867,0.23255929558225955,24.117399293596655,both,0,84.66196469839822
35.0,3.0,2,0.0,-6.125830762085434,0.0,4.3941922574762815,both,0,17.503237089918446
35.0,3.0,3,0.40000000000000036,-6.750100478236079,0.03519303565755013,4.102291973889828,both,0,2.133780282495212
35.0,3.0,4,2.8000000000000007,-5.087054924802118,0.37461487069350413,25.937868907904598,both,0,63.03446651787341
35.0,3.5,0,1.2000000000000002,-6.334036080088521,0.11582882779927567,3.8555006627359725,both,1,-1.2980462920450915
35.0,3.5,1,0.0,-7.01218035271226,0.0,4.162392996331067,both,0,51.82472457313612
35.0,3.5,2,0.0,-4.960069894108856,0.009169960921461044,3.2723321590934584,both,0,18.322940408865907
35.0,3.5,3,3.4000000000000004,-5.041785656649646,0.37354448685716457,4.323475338077017,both,1,-1.2291718807833198
35.0,3.5,4,3.4000000000000004,-5.322807229335576,0.45866246202153704,33.86060470360504,both,0,62.309083216347474
