exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
1,22,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-96.77065200805664,0,1000.0,6063.971086969789
1,23,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-88.9529182434082,0,1000.0,93679.25388496339
1,24,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-101.20911331176758,0,1000.0,149301.8058096968
1,25,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-53.39246292114258,0,1000.0,5022.991836444138
1,26,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-69.92038650512696,0,1000.0,5578.870290251596
1,27,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-88.90065689086914,0,1000.0,5451.999628269141
1,28,20.0,0.71,0.8,1.2000000000000002,0.4,10,6,4,-100.39910049438477,0,1000.0,5577.703245267099
1,29,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-90.4841682434082,0,1000.0,7599.946361060961
1,30,20.0,0.71,0.8,1.0,0.4,9,6,4,-100.87180252075196,0,1000.0,5540.64028606293
1,31,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-95.79029006958008,0,1000.0,6722.056450299013
2,0,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-5.814154815673828,1,1000.0,8836.258944801515
2,1,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-25.443095397949218,0,1000.0,6027.76676788451
2,2,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-7.969912719726563,1,1000.0,10613.125560591978
2,3,15.0,0.78,0.8,0.8,0.4,8,6,4,-23.002291870117187,1,1000.0,9470.135242131413
2,4,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-8.1822998046875,1,1000.0,11120.80168594051
2,5,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-23.63943405151367,1,1000.0,12688.38410394202
2,6,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-23.562449645996093,1,1000.0,11874.573074996673
2,7,15.0,0.78,0.8,0.6000000000000001,0.4,7,6,4,-38.17951126098633,1,1000.0,11695.990629674146
