seed_id,omega,v_f0,dv_lead,p_inj,t_nr,a_l_min,a_f_min
3016,0.804814568,0.0,2.174584167,0.004231638680428419,-0.20000000000000018,0.0,0.0
3017,0.119362901,0.0,1.444138799,0.0033246257992753073,-0.14999999999999947,0.0,0.0
3018,8.999971876,0.0,2.283556385,0.0043866154242494185,-0.20000000000000018,0.0,0.0
3019,0.192673855,0.0,1.22072467,0.0030880280055758337,-0.14999999999999947,0.0,0.0
3020,0.750677744,0.0,1.347042504,0.003219657595859669,-0.09999999999999964,0.0,0.0
3021,0.034053995,0.0,1.806426468,0.0037472840730155103,-0.14999999999999947,0.0,0.0
3022,1.463478528,0.0,2.827070161,0.005248105279897281,-0.20000000000000018,0.0,0.0
3023,0.801653588,0.0,1.605652158,0.0035068421627887036,-0.14999999999999947,0.0,0.0
3024,0.168497923,0.0,1.943148304,0.003920349810654398,-0.14999999999999947,0.0,0.0
3025,0.01145967,0.0,1.323999903,0.0031952358236887702,-0.09999999999999964,0.0,0.0
3026,0.104069155,0.0,1.652566151,0.0035616110667489164,-0.09999999999999964,0.0,0.0
3027,0.178538774,0.0,1.904446501,0.0038705678061891407,0.0,0.0,0.0
3028,0.716831674,0.0,0.648967248,0.002556217002047196,0.0,0.0,-1.7763568394002505e-15
3029,0.160432742,0.0,1.421760559,0.003300134786555487,-0.09999999999999964,0.0,0.0
3030,2.157753555,0.0,2.494013935,0.004702092939529702,-0.09999999999999964,0.0,0.0
3031,0.017653448,0.0,1.822737866,0.003767524828720567,-0.14999999999999947,0.0,0.0
3032,0.059944015,0.0,1.20136714,0.0030683361155918695,-0.09999999999999964,0.0,0.0
3033,1.677734024,0.0,1.643759658,0.003551265501981494,-0.14999999999999947,0.0,0.0
3034,0.862703813,0.0,0.648135446,0.0025555140429257407,-0.10000000000000053,0.0,-3.552713678800501e-15
3035,10.03195587,0.0,0.789590325,0.0026778734917022456,0.0,0.0,-3.552713678800501e-15
3036,0.103347003,0.0,1.754803363,0.003683936402242554,-0.14999999999999947,0.0,0.0
3037,1.092068564,0.0,2.310635197,0.004425994630454906,-0.09999999999999964,0.0,0.0
3038,1.538613725,0.0,1.577379889,0.0034742423298247433,-0.14999999999999947,0.0,0.0
3039,0.013379964,0.0,2.180373345,0.0042397330047880405,0.0,0.0,0.0
3040,0.014708696,0.0,1.881606776,0.0038414851231385167,-0.14999999999999947,0.0,0.0
3041,0.531842932,0.0,2.714068673,0.005056123561218463,-0.20000000000000018,0.0,0.0
3042,10.03195587,0.0,1.153866791,0.0030205441732571816,-0.10000000000000053,0.0,-3.552713678800501e-15
3043,0.05720366,0.0,1.507561491,0.0033950249570980965,-0.09999999999999964,0.0,0.0
3044,1.123992731,0.0,1.137236232,0.003003987525722612,-0.14999999999999947,0.0,0.0
3045,0.011467054,0.0,1.45423224,0.0033357313784544203,-0.09999999999999964,0.0,0.0
3046,0.541140337,0.0,1.633207422,0.003538908527709132,-0.20000000000000018,0.0,0.0
3047,0.045223412,0.0,1.268483728,0.003137152530596071,0.0,0.0,0.0
3048,0.178869862,0.0,1.483327609,0.003367951666190824,-0.09999999999999964,0.0,0.0
3049,0.446051599,0.0,1.825770971,0.003771300589785847,-0.14999999999999947,0.0,0.0
